time,Y,X,LAPrec1901
1903-12-01,2730000.0,4250000.0,19.0
1903-12-01,2730000.0,4255000.0,17.0
1903-12-01,2730000.0,4260000.0,16.0
1903-12-01,2735000.0,4250000.0,16.0
1903-12-01,2735000.0,4255000.0,15.0
1903-12-01,2735000.0,4260000.0,14.0
1903-12-01,2740000.0,4250000.0,15.0
1903-12-01,2740000.0,4255000.0,15.0
1903-12-01,2740000.0,4260000.0,14.0
1904-01-01,2725000.0,4250000.0,33.0
1904-01-01,2725000.0,4255000.0,32.0
1904-01-01,2725000.0,4260000.0,31.0
1904-01-01,2730000.0,4250000.0,33.0
1904-01-01,2730000.0,4255000.0,30.0
1904-01-01,2730000.0,4260000.0,28.0
1904-01-01,2735000.0,4250000.0,29.0
1904-01-01,2735000.0,4255000.0,27.0
1904-01-01,2735000.0,4260000.0,25.0
1904-01-01,2740000.0,4250000.0,28.0
1904-01-01,2740000.0,4255000.0,27.0
1904-01-01,2740000.0,4260000.0,27.0
1904-02-01,2725000.0,4250000.0,108.0
1904-02-01,2725000.0,4255000.0,104.0
1904-02-01,2725000.0,4260000.0,99.0
1904-02-01,2730000.0,4250000.0,108.0
1904-02-01,2730000.0,4255000.0,100.0
1904-02-01,2730000.0,4260000.0,91.0
1904-02-01,2735000.0,4250000.0,94.0
1904-02-01,2735000.0,4255000.0,90.0
1904-02-01,2735000.0,4260000.0,84.0
1904-02-01,2740000.0,4250000.0,92.0
1904-02-01,2740000.0,4255000.0,91.0
1904-02-01,2740000.0,4260000.0,88.0
1904-03-01,2725000.0,4250000.0,39.0
1904-03-01,2725000.0,4255000.0,38.0
1904-03-01,2725000.0,4260000.0,37.0
1904-03-01,2730000.0,4250000.0,39.0
1904-03-01,2730000.0,4255000.0,37.0
1904-03-01,2730000.0,4260000.0,35.0
1904-03-01,2735000.0,4250000.0,35.0
1904-03-01,2735000.0,4255000.0,35.0
1904-03-01,2735000.0,4260000.0,34.0
1904-03-01,2740000.0,4250000.0,36.0
1904-03-01,2740000.0,4255000.0,37.0
1904-03-01,2740000.0,4260000.0,37.0
1904-04-01,2725000.0,4250000.0,70.0
1904-04-01,2725000.0,4255000.0,71.0
1904-04-01,2725000.0,4260000.0,71.0
1904-04-01,2730000.0,4250000.0,66.0
1904-04-01,2730000.0,4255000.0,64.0
1904-04-01,2730000.0,4260000.0,63.0
1904-04-01,2735000.0,4250000.0,56.0
1904-04-01,2735000.0,4255000.0,56.0
1904-04-01,2735000.0,4260000.0,55.0
1904-04-01,2740000.0,4250000.0,51.0
1904-04-01,2740000.0,4255000.0,52.0
1904-04-01,2740000.0,4260000.0,54.0
1904-05-01,2725000.0,4250000.0,135.0
1904-05-01,2725000.0,4255000.0,134.0
1904-05-01,2725000.0,4260000.0,133.0
1904-05-01,2730000.0,4250000.0,131.0
1904-05-01,2730000.0,4255000.0,130.0
1904-05-01,2730000.0,4260000.0,129.0
1904-05-01,2735000.0,4250000.0,123.0
1904-05-01,2735000.0,4255000.0,128.0
1904-05-01,2735000.0,4260000.0,128.0
1904-05-01,2740000.0,4250000.0,124.0
1904-05-01,2740000.0,4255000.0,129.0
1904-05-01,2740000.0,4260000.0,134.0
1904-06-01,2725000.0,4250000.0,85.0
1904-06-01,2725000.0,4255000.0,85.0
1904-06-01,2725000.0,4260000.0,83.0
1904-06-01,2730000.0,4250000.0,81.0
1904-06-01,2730000.0,4255000.0,80.0
1904-06-01,2730000.0,4260000.0,78.0
1904-06-01,2735000.0,4250000.0,75.0
1904-06-01,2735000.0,4255000.0,77.0
1904-06-01,2735000.0,4260000.0,75.0
1904-06-01,2740000.0,4250000.0,72.0
1904-06-01,2740000.0,4255000.0,74.0
1904-06-01,2740000.0,4260000.0,75.0
1904-07-01,2725000.0,4250000.0,21.0
1904-07-01,2725000.0,4255000.0,22.0
1904-07-01,2725000.0,4260000.0,22.0
1904-07-01,2730000.0,4250000.0,21.0
1904-07-01,2730000.0,4255000.0,21.0
1904-07-01,2730000.0,4260000.0,21.0
1904-07-01,2735000.0,4250000.0,21.0
1904-07-01,2735000.0,4255000.0,23.0
1904-07-01,2735000.0,4260000.0,22.0
1904-07-01,2740000.0,4250000.0,23.0
1904-07-01,2740000.0,4255000.0,24.0
1904-07-01,2740000.0,4260000.0,25.0
1904-08-01,2725000.0,4250000.0,70.0
1904-08-01,2725000.0,4255000.0,66.0
1904-08-01,2725000.0,4260000.0,64.0
1904-08-01,2730000.0,4250000.0,66.0
1904-08-01,2730000.0,4255000.0,63.0
1904-08-01,2730000.0,4260000.0,61.0
1904-08-01,2735000.0,4250000.0,62.0
1904-08-01,2735000.0,4255000.0,63.0
1904-08-01,2735000.0,4260000.0,61.0
1904-08-01,2740000.0,4250000.0,63.0
1904-08-01,2740000.0,4255000.0,64.0
1904-08-01,2740000.0,4260000.0,65.0
1904-09-01,2725000.0,4250000.0,98.0
1904-09-01,2725000.0,4255000.0,98.0
1904-09-01,2725000.0,4260000.0,101.0
1904-09-01,2730000.0,4250000.0,95.0
1904-09-01,2730000.0,4255000.0,97.0
1904-09-01,2730000.0,4260000.0,98.0
1904-09-01,2735000.0,4250000.0,92.0
1904-09-01,2735000.0,4255000.0,99.0
1904-09-01,2735000.0,4260000.0,100.0
1904-09-01,2740000.0,4250000.0,97.0
1904-09-01,2740000.0,4255000.0,103.0
1904-09-01,2740000.0,4260000.0,108.0
1904-10-01,2725000.0,4250000.0,39.0
1904-10-01,2725000.0,4255000.0,39.0
1904-10-01,2725000.0,4260000.0,39.0
1904-10-01,2730000.0,4250000.0,37.0
1904-10-01,2730000.0,4255000.0,36.0
1904-10-01,2730000.0,4260000.0,35.0
1904-10-01,2735000.0,4250000.0,31.0
1904-10-01,2735000.0,4255000.0,32.0
1904-10-01,2735000.0,4260000.0,31.0
1904-10-01,2740000.0,4250000.0,29.0
1904-10-01,2740000.0,4255000.0,30.0
1904-10-01,2740000.0,4260000.0,33.0
1904-11-01,2725000.0,4250000.0,47.0
1904-11-01,2725000.0,4255000.0,46.0
1904-11-01,2725000.0,4260000.0,47.0
1904-11-01,2730000.0,4250000.0,46.0
1904-11-01,2730000.0,4255000.0,46.0
1904-11-01,2730000.0,4260000.0,45.0
1904-11-01,2735000.0,4250000.0,41.0
1904-11-01,2735000.0,4255000.0,43.0
1904-11-01,2735000.0,4260000.0,43.0
1904-11-01,2740000.0,4250000.0,42.0
1904-11-01,2740000.0,4255000.0,45.0
1904-11-01,2740000.0,4260000.0,48.0
1904-12-01,2725000.0,4250000.0,46.0
1904-12-01,2725000.0,4255000.0,44.0
1904-12-01,2725000.0,4260000.0,41.0
1904-12-01,2730000.0,4250000.0,46.0
1904-12-01,2730000.0,4255000.0,42.0
1904-12-01,2730000.0,4260000.0,38.0
1904-12-01,2735000.0,4250000.0,38.0
1904-12-01,2735000.0,4255000.0,37.0
1904-12-01,2735000.0,4260000.0,36.0
1904-12-01,2740000.0,4250000.0,37.0
1904-12-01,2740000.0,4255000.0,37.0
1904-12-01,2740000.0,4260000.0,39.0
1905-01-01,2725000.0,4250000.0,49.0
1905-01-01,2725000.0,4255000.0,49.0
