time,lat,lon,prAdjust
1950-01-01,50.5,12.25,65.174805
1950-01-01,50.5,12.5,60.651894
1950-01-01,50.5,12.75,59.384373
1950-01-01,50.5,13.0,59.217262
1950-01-01,50.5,13.25,53.440514
1950-01-01,50.5,13.5,51.54985
1950-01-01,50.5,13.75,47.061127
1950-01-01,50.5,14.0,61.503
1950-01-01,50.5,14.25,58.58023
1950-01-01,50.5,14.5,54.36449
1950-01-01,50.5,14.75,52.711575
1950-01-01,50.5,15.0,44.316765
1950-01-01,50.75,5.75,49.628918
1950-01-01,50.75,6.0,47.843807
1950-01-01,50.75,6.25,48.288338
1950-01-01,50.75,6.5,55.20661
1950-01-01,50.75,6.75,62.39393
1950-01-01,50.75,7.0,53.773838
1950-01-01,50.75,7.25,50.90697
1950-01-01,50.75,7.5,60.702435
1950-01-01,50.75,7.75,60.960182
1950-01-01,50.75,8.0,58.91523
1950-01-01,50.75,8.25,51.40914
1950-01-01,50.75,8.5,40.967583
1950-01-01,50.75,8.75,33.103607
1950-01-01,50.75,9.0,33.16418
1950-01-01,50.75,9.25,36.399475
1950-01-01,50.75,9.5,41.041504
1950-01-01,50.75,9.75,53.162685
1950-01-01,50.75,10.0,58.56462
1950-01-01,50.75,10.25,50.981564
1950-01-01,50.75,10.5,54.745182
1950-01-01,50.75,10.75,57.147766
1950-01-01,50.75,11.0,46.36467
1950-01-01,50.75,11.25,46.652924
1950-01-01,50.75,11.5,48.414963
1950-01-01,50.75,11.75,48.701626
1950-01-01,50.75,12.0,51.401108
1950-01-01,50.75,12.25,58.29154
1950-01-01,50.75,12.5,60.025223
1950-01-01,50.75,12.75,64.7463
1950-01-01,50.75,13.0,60.244648
1950-01-01,50.75,13.25,45.479553
1950-01-01,50.75,13.5,53.93532
1950-01-01,50.75,13.75,55.898582
1950-01-01,50.75,14.0,44.980526
1950-01-01,50.75,14.25,44.751774
1950-01-01,50.75,14.5,44.16369
1950-01-01,50.75,14.75,48.138947
1950-01-01,50.75,15.0,63.93341
1950-01-01,51.0,5.75,44.2269
1950-01-01,51.0,6.0,42.96917
1950-01-01,51.0,6.25,45.333416
1950-01-01,51.0,6.5,64.823746
1950-01-01,51.0,6.75,73.198814
1950-01-01,51.0,7.0,63.82083
1950-01-01,51.0,7.25,66.03217
1950-01-01,51.0,7.5,70.46488
1950-01-01,51.0,7.75,59.795753
1950-01-01,51.0,8.0,56.691925
1950-01-01,51.0,8.25,68.619156
1950-01-01,51.0,8.5,62.222282
1950-01-01,51.0,8.75,54.546707
1950-01-01,51.0,9.0,33.150085
1950-01-01,51.0,9.25,32.0591
1950-01-01,51.0,9.5,36.927822
1950-01-01,51.0,9.75,40.205925
1950-01-01,51.0,10.0,39.14872
1950-01-01,51.0,10.25,49.910397
1950-01-01,51.0,10.5,73.32535
1950-01-01,51.0,10.75,83.84428
1950-01-01,51.0,11.0,90.074554
1950-01-01,51.0,11.25,49.223568
1950-01-01,51.0,11.5,47.96489
1950-01-01,51.0,11.75,41.562218
1950-01-01,51.0,12.0,45.66609
1950-01-01,51.0,12.25,43.3316
1950-01-01,51.0,12.5,46.491432
1950-01-01,51.0,12.75,39.623356
1950-01-01,51.0,13.0,40.00478
1950-01-01,51.0,13.25,42.61336
1950-01-01,51.0,13.5,46.611595
1950-01-01,51.0,13.75,47.82708
1950-01-01,51.0,14.0,54.474945
1950-01-01,51.0,14.25,67.69165
1950-01-01,51.0,14.5,68.21704
1950-01-01,51.0,14.75,76.879196
1950-01-01,51.0,15.0,55.118645
1950-01-01,51.25,5.75,46.897415
1950-01-01,51.25,6.0,48.56948
1950-01-01,51.25,6.25,45.71656
1950-01-01,51.25,6.5,52.643295
1950-01-01,51.25,6.75,59.814743
1950-01-01,51.25,7.0,61.290695
1950-01-01,51.25,7.25,63.99501
1950-01-01,51.25,7.5,66.42376
1950-01-01,51.25,7.75,70.482994
1950-01-01,51.25,8.0,70.57045
1950-01-01,51.25,8.25,67.20498
1950-01-01,51.25,8.5,62.45009
1950-01-01,51.25,8.75,49.965813
1950-01-01,51.25,9.0,59.880413
1950-01-01,51.25,9.25,44.94953
1950-01-01,51.25,9.5,50.711628
1950-01-01,51.25,9.75,46.129303
1950-01-01,51.25,10.0,38.68243
1950-01-01,51.25,10.25,40.428925
1950-01-01,51.25,10.5,42.016617
1950-01-01,51.25,10.75,34.44368
1950-01-01,51.25,11.0,29.690756
1950-01-01,51.25,11.25,34.76051
1950-01-01,51.25,11.5,37.788452
1950-01-01,51.25,11.75,43.808636
1950-01-01,51.25,12.0,50.3487
1950-01-01,51.25,12.25,47.120987
1950-01-01,51.25,12.5,50.613045
1950-01-01,51.25,12.75,48.944374
1950-01-01,51.25,13.0,45.585754
1950-01-01,51.25,13.25,44.596783
1950-01-01,51.25,13.5,44.08164
1950-01-01,51.25,13.75,40.399532
1950-01-01,51.25,14.0,48.893417
1950-01-01,51.25,14.25,52.389137
1950-01-01,51.25,14.5,53.145157
1950-01-01,51.25,14.75,50.705196
1950-01-01,51.25,15.0,43.055725
1950-01-01,51.5,5.75,50.918983
1950-01-01,51.5,6.0,41.873455
1950-01-01,51.5,6.25,49.773853
1950-01-01,51.5,6.5,51.467075
1950-01-01,51.5,6.75,42.4372
1950-01-01,51.5,7.0,45.55594
1950-01-01,51.5,7.25,47.514503
1950-01-01,51.5,7.5,51.676323
1950-01-01,51.5,7.75,50.93841
1950-01-01,51.5,8.0,53.19619
1950-01-01,51.5,8.25,56.70775
1950-01-01,51.5,8.5,55.782314
1950-01-01,51.5,8.75,55.477837
1950-01-01,51.5,9.0,51.265736
1950-01-01,51.5,9.25,46.420685
1950-01-01,51.5,9.5,44.633945
1950-01-01,51.5,9.75,40.068253
1950-01-01,51.5,10.0,41.50416
1950-01-01,51.5,10.25,41.764587
1950-01-01,51.5,10.5,52.5093
1950-01-01,51.5,10.75,47.94049
1950-01-01,51.5,11.0,31.898502
1950-01-01,51.5,11.25,35.32858
1950-01-01,51.5,11.5,44.94868
1950-01-01,51.5,11.75,45.78414
1950-01-01,51.5,12.0,40.27763
1950-01-01,51.5,12.25,39.644325
1950-01-01,51.5,12.5,51.34921
1950-01-01,51.5,12.75,69.50893
1950-01-01,51.5,13.0,58.842308
1950-01-01,51.5,13.25,55.102524
1950-01-01,51.5,13.5,40.03078
1950-01-01,51.5,13.75,57.156155
1950-01-01,51.5,14.0,45.022064
1950-01-01,51.5,14.25,48.57826
1950-01-01,51.5,14.5,45.480545
1950-01-01,51.5,14.75,46.845608
1950-01-01,51.5,15.0,42.57917
1950-01-01,51.75,5.75,69.44486
1950-01-01,51.75,6.0,45.589844
1950-01-01,51.75,6.25,42.311497
1950-01-01,51.75,6.5,45.56588
1950-01-01,51.75,6.75,72.96681
1950-01-01,51.75,7.0,99.36233
1950-01-01,51.75,7.25,38.896942
1950-01-01,51.75,7.5,54.152092
1950-01-01,51.75,7.75,41.092678
1950-01-01,51.75,8.0,41.110184
1950-01-01,51.75,8.25,42.477665
1950-01-01,51.75,8.5,49.158134
