time,lat,lon,fire_weather_index (fwi)
1979-01-01,49.5,8.5,3.9012358
1979-01-01,49.5,8.75,3.4215522
1979-01-01,49.5,9.0,3.042161
1979-01-01,49.5,9.25,3.3018198
1979-01-01,49.5,9.5,3.980852
1979-01-01,49.5,9.75,4.675213
1979-01-01,49.5,10.0,4.988595
1979-01-01,49.5,10.25,4.9349327
1979-01-01,49.5,10.5,4.769895
1979-01-01,49.5,10.75,4.598658
1979-01-01,49.5,11.0,4.5509024
1979-01-01,49.5,11.25,4.2664957
1979-01-01,49.5,11.5,3.986117
1979-01-01,49.5,11.75,3.935225
1979-01-01,49.5,12.0,4.0216784
1979-01-01,49.5,12.25,4.117229
1979-01-01,49.5,12.5,3.9881027
1979-01-01,49.5,12.75,4.0715814
1979-01-01,49.5,13.0,4.3908668
1979-01-01,49.5,13.25,4.698409
1979-01-01,49.5,13.5,4.6861224
1979-01-01,49.5,13.75,4.4192615
1979-01-01,49.5,14.0,4.2212133
1979-01-01,49.5,14.25,4.235488
1979-01-01,49.5,14.5,4.251242
1979-01-01,49.5,14.75,4.232602
1979-01-01,49.5,15.0,4.181178
1979-01-01,49.75,5.75,2.9455943
1979-01-01,49.75,6.0,3.1666799
1979-01-01,49.75,6.25,3.4514174
1979-01-01,49.75,6.5,3.5986857
1979-01-01,49.75,6.75,3.3038754
1979-01-01,49.75,7.0,3.0653076
1979-01-01,49.75,7.25,3.0997124
1979-01-01,49.75,7.5,3.6065087
1979-01-01,49.75,7.75,4.04706
1979-01-01,49.75,8.0,4.493394
1979-01-01,49.75,8.25,4.7815213
1979-01-01,49.75,8.5,4.9790726
1979-01-01,49.75,8.75,4.629598
1979-01-01,49.75,9.0,4.010179
1979-01-01,49.75,9.25,3.5901375
1979-01-01,49.75,9.5,3.7565985
1979-01-01,49.75,9.75,4.1857142
1979-01-01,49.75,10.0,4.5529723
1979-01-01,49.75,10.25,4.4833174
1979-01-01,49.75,10.5,4.189662
1979-01-01,49.75,10.75,3.8029134
1979-01-01,49.75,11.0,3.4936094
1979-01-01,49.75,11.25,3.3543007
1979-01-01,49.75,11.5,3.314088
1979-01-01,49.75,11.75,3.299412
1979-01-01,49.75,12.0,3.269132
1979-01-01,49.75,12.25,3.2540526
1979-01-01,49.75,12.5,3.3493433
1979-01-01,49.75,12.75,3.5463707
1979-01-01,49.75,13.0,3.9268465
1979-01-01,49.75,13.25,4.1811743
1979-01-01,49.75,13.5,4.1235604
1979-01-01,49.75,13.75,3.950643
1979-01-01,49.75,14.0,4.00267
1979-01-01,49.75,14.25,4.3960667
1979-01-01,49.75,14.5,4.747852
1979-01-01,49.75,14.75,4.7812433
1979-01-01,49.75,15.0,4.6000166
1979-01-01,50.0,5.75,2.9455943
1979-01-01,50.0,6.0,3.1666799
1979-01-01,50.0,6.25,3.4514174
1979-01-01,50.0,6.5,3.5986857
1979-01-01,50.0,6.75,3.3038754
1979-01-01,50.0,7.0,3.0653076
1979-01-01,50.0,7.25,3.0997124
1979-01-01,50.0,7.5,3.6065087
1979-01-01,50.0,7.75,4.04706
1979-01-01,50.0,8.0,4.493394
1979-01-01,50.0,8.25,4.7815213
1979-01-01,50.0,8.5,4.9790726
1979-01-01,50.0,8.75,4.629598
1979-01-01,50.0,9.0,4.010179
1979-01-01,50.0,9.25,3.5901375
1979-01-01,50.0,9.5,3.7565985
1979-01-01,50.0,9.75,4.1857142
1979-01-01,50.0,10.0,4.5529723
1979-01-01,50.0,10.25,4.4833174
1979-01-01,50.0,10.5,4.189662
1979-01-01,50.0,10.75,3.8029134
